Estado,Municipio,Localidad,Nombre de la Planta,Capacidad Inst.,Caudal Potabilizado,Proceso Potabilizaci¢n
COLIMA,Cuauht‚moc,Palmillas,Palmillas,0.5,0.3,Filtro de Carb¢n Activado
COLIMA,Ixtlahuac n,La Presa (Barranca del Rebozo),La Presa,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Ixtlahuac n,Las Conchas,Las Conchas,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Ixtlahuac n,Las Trancas,Las Trancas,0.13,0.06,Osmosis Inversa
COLIMA,Manzanillo,"CHARCO, EL",EL CHARCO,0.1,0.1,Filtro de Carb¢n Activado
COLIMA,Manzanillo,LLANO DE LA MARINA,LLANO DE LA MARINA,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Minatitl n,El Sauz (Los Sauces),El Sauz,0.12,0.029,Filtro de Carb¢n Activado
COLIMA,Minatitl n,San Antonio,San Antonio,0.2,0.15,Filtro de Carb¢n Activado
COLIMA,Tecom n,Caleras,Caleras,0.13,0.06,Osmosis Inversa
COLIMA,Tecom n,Callejones,Callejones,0.13,0.1,Osmosis Inversa
COLIMA,Tecom n,Cerro De Ortega,Cerro de Ortega,0.27,0.13,Osmosis Inversa
COLIMA,Tecom n,Cerro De Ortega,Cerro de Ortega II,0.33,0.17,Osmosis Inversa
COLIMA,Tecom n,COFRADIA DE HIDALGO (LAGUNA DE ALCUZAHUE),COFRADIA DE HIDALGO,0.33,0.029,Osmosis Inversa
COLIMA,Tecom n,Cofrad¡a de Morelos,Cofradia de Morelos,0.33,0.15,Osmosis Inversa
COLIMA,Tecom n,Colonia Bayardo,Bayardo (Nvo. Caxitl n),0.33,0.3,Osmosis Inversa
COLIMA,Tecom n,Colonia Ladislao Moreno,Ladislao Moreno,0.33,0.15,Osmosis Inversa
COLIMA,Tecom n,El Saucito,El Saucito,0.2,0.02,Osmosis Inversa
COLIMA,Tecom n,La Salada,La Salada,0.2,0.15,Osmosis Inversa
COLIMA,Tecom n,Madrid,Madrid,0.27,0.073,Osmosis Inversa
COLIMA,Tecom n,Madrid,Madrid I,0.33,0.28,Osmosis Inversa
COLIMA,Tecom n,San Miguel del Ojo de Agua,San Miguel del Ojo de Agua,0.33,0.23,Osmosis Inversa
COLIMA,Tecom n,Tecolapa,TECOLAPA,0.33,0.029,Osmosis Inversa
COLIMA,Tecom n,Tecom n,La estaci¢n,0.116,0.029,Osmosis Inversa
COLIMA,Tecom n,Tecom n,Ru¡z Cortinez,0.13,0.15,Osmosis Inversa
COLIMA,Tecom n,Tecom n,SANTA ELENA,0.116,0.029,Osmosis Inversa
COLIMA,Villa de µlvarez,AGUA DULCE,AGUA DULCE,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Villa de µlvarez,Ciudad de Villa de µlvarez,Col. Real de Minas,0.12,0.03,Filtro de Carb¢n Activado
COLIMA,Villa de µlvarez,Ciudad de Villa de µlvarez,Ramon Serrano,0.35,0.03,Filtro de Carb¢n Activado
COLIMA,Villa de µlvarez,Ciudad de Villa de µlvarez,Solidaridad,0.35,0.02,Filtro de Carb¢n Activado
COLIMA,Villa de µlvarez,El Nuevo Naranjal,Nuevo Naranjal,0.35,0.02,Filtro de Carb¢n Activado
COLIMA,Villa de µlvarez,Juluapan,Juluapan,0.35,0.02,Filtro de Carb¢n Activado
CHIAPAS,La Concordia,La Concordia,La Concordia,20,18,Clarificaci¢n Convencional
CHIAPAS,San Fernando,San Fernando,San Fernando,220,80,Clarificaci¢n Convencional
CHIAPAS,Tapachula,Tapachula de C¢rdova y Ordo¤ez,Tapachula,1000,650,Clarificaci¢n Convencional
CHIAPAS,Tuxtla Guti‚rrez,Tuxtla Guti‚rrez,Tuxtla Guti‚rrez I,1000,1000,Clarificaci¢n Convencional
CHIAPAS,Tuxtla Guti‚rrez,Tuxtla Guti‚rrez,Tuxtla Guti‚rrez II,500,360,Clarificaci¢n de Patente
CHIAPAS,Tuxtla Guti‚rrez,Tuxtla Guti‚rrez,Tuxtla Guti‚rrez III,2000,500,Clarificaci¢n de Patente
CHIHUAHUA,Bocoyna,Creel,Situriachi,140,70,Ablandamiento
CHIHUAHUA,Camargo,Santa Rosal¡a de Camargo,Camargo,130,80,Remoci¢n de Fierro - Manganeso
CHIHUAHUA,Chihuahua,Chihuahua,Chihuahua Norte,120,60,Clarificaci¢n de Patente
CHIHUAHUA,Hidalgo del Parral,Hidalgo del Parral,Mina la Prieta,43,20.57,Clarificaci¢n de Patente
CHIHUAHUA,Hidalgo del Parral,Hidalgo del Parral,Parral,245,145,Clarificaci¢n de Patente
CHIHUAHUA,Ojinaga,Manuel Ojinaga,OJINAGA,12,12,Clarificaci¢n Convencional
CIUDAD DE MXICO (DISTRITO FEDERAL),Azcapotzalco,Azcapotzalco,Deportivo Ferrer¡a,50,50,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Azcapotzalco,Azcapotzalco,Trabajadores del Hierro,50,50,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Gustavo A. Madero,Gustavo A. Madero,Avenida del Castillo,50,50,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Gustavo A. Madero,Gustavo A. Madero,Jardines del Pedregal 5,40,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Gustavo A. Madero,Gustavo A. Madero,Panamericana,50,50,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztacalco,Iztacalco,Ciudad Deportiva 2,100,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztacalco,Iztacalco,Tlacotal,60,50,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztacalco,Iztacalco,Viga 4,60,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa, Xaltepec,500,458,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Acueducto Sierra Sta. Catarina,250,248,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Agr¡cola Oriental,240,150,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Auxiliar Xotepingo 4C,40,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Carlos L. Gracidas,38,38,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Cerro de La Estrella 2,60,60,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Granjas San Antonio,60,38,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Iztapalapa 1,60,60,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Iztapalapa 2,60,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,La Caldera,700,600,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Pante¢n Civil,180,90,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Pe¤¢n 2,50,50,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Pur¡sima 2,60,50,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Pur¡sima 3 y 7,135,120,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Pur¡sima Iztapalapa 5,60,60,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Pur¡sima Iztapalapa I,60,60,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,San Lorenzo Tezonco,6,6,Otro
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,San Lorenzo Tezonco Nuevo,60,12,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Santa Catarina 10,60,60,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Santa Catarina 11,40,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Santa Catarina 13,60,60,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Santa Catarina 8 y 9,100,85,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Sta. Cruz Meyehualco,120,65,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Tecomitl 2,60,60,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Iztapalapa,Iztapalapa,Viga 2,40,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),La Magdalena Contreras,La Magdalena Contreras,R¡o Magdalena,210,210,Clarificaci¢n Convencional
CIUDAD DE MXICO (DISTRITO FEDERAL),La Magdalena Contreras,La Magdalena Contreras,R¡o Magdalena 2,200,200,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Tl huac,Tl huac,Acueducto Tl huac-La Caldera,40,40,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Tl huac,Tl huac,Santa Catarina,500,120,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Tl huac,Tl huac,Santa Catarina 4,60,60,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Tl huac,Tl huac,Tecomitl 18,50,23,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Tlalpan,SIN NOMBRE,Selene,120,50,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Venustiano Carranza,Venustiano Carranza,Balbuena 2,40,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Venustiano Carranza,Venustiano Carranza,Pe¤¢n de los Ba¤os,50,40,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Venustiano Carranza,Venustiano Carranza,Vista Alegre,40,40,Osmosis Inversa
CIUDAD DE MXICO (DISTRITO FEDERAL),Xochimilco,Xochimilco,Cerillos 2,40,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Xochimilco,Xochimilco,Cerillos 3,40,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Xochimilco,Xochimilco,Escudo Nacional 2,40,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Xochimilco,Xochimilco,R-11,40,40,Filtraci¢n Directa
CIUDAD DE MXICO (DISTRITO FEDERAL),Xochimilco,Xochimilco,S-13,40,40,Adsorci¢n
CIUDAD DE MXICO (DISTRITO FEDERAL),Xochimilco,Xochimilco,San Luis Nuevo,60,60,Filtraci¢n Directa
DURANGO,Coneto de Comonfort,Coneto de Comonfort,Coneto de Comonfort II,4,4,Filtraci¢n Directa
DURANGO,Cuencam‚,Velarde¤a,Velarde¤a,1.5,1.1,Osmosis Inversa
DURANGO,Durango,Belisario Dom¡nguez,Belisario Dom¡nguez,0.07,0.04,Osmosis Inversa
DURANGO,Durango,El Arenal (San Jer¢nimo),El Arenal,3.2,2.8,Osmosis Inversa
DURANGO,Durango,Veinte de Noviembre,27 de noviembre,1.2,1,Osmosis Inversa
DURANGO,General Sim¢n Bolivar,Dieciocho de Marzo,18 de Marzo,0.4,0.4,Osmosis Inversa
DURANGO,General Sim¢n Bolivar,Enrique Flores Mag¢n,Colonia Enrique Flores Mag¢n,0.4,0.4,Osmosis Inversa
DURANGO,General Sim¢n Bolivar,Ignacio Zaragoza,Ignacio Zaragoza,0.379,0.379,Osmosis Inversa
DURANGO,General Sim¢n Bolivar,ORIENTE AGUANAVAL,Oriente Aguanaval,0.379,0.379,Osmosis Inversa
DURANGO,General Sim¢n Bolivar,PEDRO CELESTINO NEGRETE,Pedro Celestino Negrete,0.379,0.379,Osmosis Inversa
DURANGO,General Sim¢n Bolivar,SAN JOSE DE REYES,San Jose de Reyes,0.379,0.379,Osmosis Inversa
DURANGO,General Sim¢n Bolivar,SAN JOSE DE ZARAGOZA,San Jose de Zaragoza,0.379,0.379,Osmosis Inversa
DURANGO,General Sim¢n Bolivar,Santa Rosal¡a,Sta. Rosal¡a,0.4,0.4,Osmosis Inversa
DURANGO,G¢mez Palacio,Esmeralda,La Esmeralda,0.4,0.4,Osmosis Inversa
DURANGO,G¢mez Palacio,G¢mez Palacio,Cerro de la Pila,113,113,Filtraci¢n Directa
DURANGO,G¢mez Palacio,G¢mez Palacio,Pozo 12 Zona Industrial,33,33,Filtraci¢n Directa
DURANGO,G¢mez Palacio,G¢mez Palacio,Pozo 6 El Campestre,36,36,Filtraci¢n Directa
DURANGO,Hidalgo,Villa Hidalgo,Hidalgo,1.5,1.5,Osmosis Inversa
DURANGO,Lerdo,Salamanca,Salamanca,0.4,0.4,Osmosis Inversa
DURANGO,Mapim¡,Bermejillo,Bermejillo,0.4,0.4,Osmosis Inversa
DURANGO,Mapim¡,Buen d¡a,Buend¡a,0.4,0.4,Osmosis Inversa
DURANGO,Mapim¡,Ceballos,Ceballos,0.379,0.379,Osmosis Inversa
DURANGO,Mapim¡,El Diamante,El Diamante,0.4,0.4,Osmosis Inversa
DURANGO,Mapim¡,Emiliano Zapata (El Derrame),Emiliano Zapata,0.4,0.4,Osmosis Inversa
DURANGO,Mapim¡,JARALITO,Jaralito,0.4,0.4,Osmosis Inversa
DURANGO,Mapim¡,Las Mar¡as,Las Mar¡as,0.4,0.4,Osmosis Inversa
DURANGO,Mapim¡,Mapim¡,Mapimi,0.379,0.379,Osmosis Inversa
DURANGO,Mapim¡,"MERCED, LA (LAS AGUILAS)",La Merced,0.379,0.379,Osmosis Inversa
DURANGO,Mapim¡,NUEVA ESTRELLA,La Estrella,0.379,0.379,Osmosis Inversa
DURANGO,Mapim¡,SAN AGUSTIN,San Agustin,0.379,0.379,Osmosis Inversa
DURANGO,Mapim¡,Santa Librada,Santa Librada,0.4,0.4,Osmosis Inversa
DURANGO,Pueblo Nuevo,El Salto,El Salto,100,100,Clarificaci¢n Convencional
DURANGO,Rodeo,"GOTERA, LA",La Gotera,0.252,0.252,Osmosis Inversa
DURANGO,San Juan de Guadalupe,Agua Nueva,Agua Nueva,0.4,0.4,Osmosis Inversa
DURANGO,San Juan de Guadalupe,Benito Ju rez (El Capadero),Benito Ju rez,0.4,0.4,Osmosis Inversa
DURANGO,San Juan de Guadalupe,CIPRIANO,Cipriano,0.316,0.316,Osmosis Inversa
DURANGO,San Juan de Guadalupe,El Zorrillo,El Zorrillo,0.316,0.316,Osmosis Inversa
DURANGO,San Juan de Guadalupe,"ESQUIVELES, LOS",Los Esquiveles,0.379,0.379,Osmosis Inversa
DURANGO,San Juan de Guadalupe,Guadalupito,Guadalupito,0.4,0.4,Osmosis Inversa
DURANGO,San Juan de Guadalupe,La Escalera,La Escalera,0.379,0.379,Osmosis Inversa
DURANGO,San Juan de Guadalupe,La Planilla,La Planilla,0.379,0.379,Osmosis Inversa
DURANGO,San Juan de Guadalupe,L zaro C rdenas (el Zacate),El Zacate,0.4,0.4,Osmosis Inversa
DURANGO,San Juan de Guadalupe,Nueva Reforma,Nueva Reforma,0.379,0.379,Osmosis Inversa
DURANGO,San Juan de Guadalupe,"ROSITA, LA",La Rosita,0.316,0.316,Osmosis Inversa
DURANGO,San Juan de Guadalupe,San Jos‚ de Barrones,San Jos‚ de Barrones,0.4,0.4,Osmosis Inversa
DURANGO,San Juan de Guadalupe,San Juan de Guadalupe,Barrio de M‚rida,0.4,0.4,Osmosis Inversa
DURANGO,San Juan de Guadalupe,San Juan de Guadalupe,San Juan de Guadalupe,0.379,0.379,Osmosis Inversa
DURANGO,San Juan de Guadalupe,Vicente Guerrero (Siete Zacates),7 Zacatecas,0.4,0.4,Osmosis Inversa
DURANGO,San Luis del Cordero,San Juan de las Boquillas,San Juan de Boquillas,0.4,0.4,Osmosis Inversa
DURANGO,San Pedro del Gallo,San Pedro del Gallo,San Pedro del Gallo,0.25,0.25,Osmosis Inversa
DURANGO,Santiago Papasquiaro,Santiago Papasquiaro,Santiago Papasquiaro,100,100,Ablandamiento
DURANGO,Tlahualilo,Amapolas,Amapolas,0.4,0.4,Osmosis Inversa
DURANGO,Tlahualilo,CARTAGENA,28 de Cartagena,0.379,0.379,Osmosis Inversa
DURANGO,Tlahualilo,Granja Morelos (La Loma Yermo),Granja Morelos,0.379,0.379,Osmosis Inversa
DURANGO,Tlahualilo,La Sierrita,La Sierrita,0.379,0.379,Osmosis Inversa
DURANGO,Tlahualilo,NOMBRE DE DIOS,Nombre de Dios,0.379,0.379,Osmosis Inversa
DURANGO,Tlahualilo,"RENEGADO, EL (LA PERLA)",El Renegado,0.379,0.379,Osmosis Inversa
GUANAJUATO,Acambaro,El Ranchito,El Ranchito,1,0.6,Filtraci¢n Lenta
GUANAJUATO,Acambaro,La Merced,La Merced,1,0.6,Filtraci¢n Lenta
GUANAJUATO,Apaseo El Grande,San Pedro Tenango,San Pedro Tenango,1,1,Ablandamiento
GUANAJUATO,Comonfort,OJO DE AGUA DEL POTRERO (OJO DE AGUA),OJO DE AGUA D POTRERO ,1.5,1.5,Osmosis Inversa
GUANAJUATO,Cuer maro,Cerrito de Agua Caliente,Cerrito de Agua Caliente,1,0.6,Osmosis Inversa
GUANAJUATO,Cuer maro,San Gregorio,San Gregorio,1,0.7,Osmosis Inversa
GUANAJUATO,Guanajuato,Guanajuato,Los Filtros,150,110,Clarificaci¢n Convencional
GUANAJUATO,Guanajuato,Guanajuato,Presa de Mata,42,35,Clarificaci¢n Convencional
GUANAJUATO,Guanajuato,MINERAL DE LA LUZ (LA LUZ),Mineral de la luz,6,6,Clarificaci¢n Convencional
GUANAJUATO,Guanajuato,PUERTO DE SANTA ROSA,Puerto de Santa Rosa,6.5,6.5,Clarificaci¢n Convencional
GUANAJUATO,Irapuato,Aldama,ALDAMA,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,Ca¤ada de la Muerte,Ca¤ada de la Muerte,1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,CARRIZAL GRANDE,CARRIZAL GRANDE,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,COMEDERITO,COMEDERITO,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,GUADALUPE DE PASO BLANCO (EL RANCHITO),GUADALUPE PASO BLANCO,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,Hacienda de M rquez (M rquez),Hacienda de M rquez,1,0.05,Osmosis Inversa
GUANAJUATO,Irapuato,Irapuato,JAPAMI,0.12,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,Irapuato,POZO 38,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,Irapuato,POZO 81,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,Irapuato,POZO 86,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,La Calera,La Calera,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,"LOMA, LA",LOMA BONITA,0.12,0.05,Osmosis Inversa
GUANAJUATO,Irapuato,"MALVAS, LAS (EL RESBALON)",MALVAS DE ARGOLLA 2,0.12,0.06,Osmosis Inversa
GUANAJUATO,Irapuato,"MALVAS, LAS (EL RESBALON)",MALVAS DE ARRGOLLA ,0.11,0.11,Osmosis Inversa
GUANAJUATO,Irapuato,"MALVAS, LAS (EL RESBALON)",MALVAS REVOLUCION,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,OJO DE AGUA DE BERMUDEZ,OJO DE AGUA DE BERMUDEZ,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,PASO BLANCO,PASO BLANCO,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,PEÑUELAS,PE¥UELAS,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,PURISIMA DE COVARRUBIAS,PURISIMA DEL PROGRESO,0.12,0.05,Osmosis Inversa
GUANAJUATO,Irapuato,PURISIMA DE TEMASCATIO DE ARRIBA,PURISIMA DE TEMASCATIO DE ARRB,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,RIVERA DE GUADALUPE,RIVERA DE GUADALUPE,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,SAN IGNACIO DE RIVERA (OJO DE AGUA),SAN IGNACIO RIVERA,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,SAN JOSE DE CRUCES,SAN JOSE CRUCES,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,SAN NICOLAS TEMASCATIO,NICOLAS TEMASCATIO,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,SANTA BARBARA,SANTA BARBARA,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,SERRANO,SERRANO,0.1,0.1,Osmosis Inversa
GUANAJUATO,Irapuato,"TRINIDAD DE TEMASCATIO, LA",TRINIDAD TEMASCATÖO,0.1,0.1,Osmosis Inversa
GUANAJUATO,Le¢n,Le¢n de los Aldama,Le¢n,160,115,Clarificaci¢n Convencional
GUANAJUATO,Manuel Doblado,Ciudad Manuel Doblado,Calzada del Tepoz n,1,0.6,Osmosis Inversa
GUANAJUATO,Manuel Doblado,Ciudad Manuel Doblado,La Playa,1,0.6,Filtraci¢n Lenta
GUANAJUATO,Manuel Doblado,Ciudad Manuel Doblado,Puerto de la Llave,1,0.6,Filtraci¢n Lenta
GUANAJUATO,Manuel Doblado,La Calzada de la Merced,Calzada de la Merced,2.18,2.18,Ablandamiento
GUANAJUATO,P‚njamo,ESTACION PENJAMO,La Estaci¢n ,5000,5000,Osmosis Inversa
GUANAJUATO,Pueblo Nuevo,Guadalupe del Monte (La Lupita),Guadalupe del Monte,1,0.6,Osmosis Inversa
GUANAJUATO,San Felipe,LAGUNA DE GUADALUPE,LAGUNA DE GUADALUPE,0.2,0.2,Osmosis Inversa
GUANAJUATO,San Felipe,PROVIDENCIA DE GPE. (ESTANCIA DE PROVIDENCIA),PROVIDENCIA,0.06,0.06,Osmosis Inversa
GUANAJUATO,San Luis de la Paz,La Cruz de Guerrero,La Cruz de Guerrero,1,0.6,Osmosis Inversa
GUANAJUATO,San Luis de la Paz,La Escondidita (La Escondida),La Escondidita,1,0.6,Osmosis Inversa
GUANAJUATO,San Luis de la Paz,Maravilla l,Maravilla l,1,0.6,Osmosis Inversa
GUANAJUATO,San Luis de la Paz,San Luis de la Paz,Paso de Vaqueros,250,130,Filtraci¢n Directa
GUANAJUATO,San Luis de la Paz,Terreros de la Concepci¢n (El Terrero),Los Terreros de la Concepci¢n,1,0.6,Osmosis Inversa
GUANAJUATO,Santa Cruz de Juventino Rosas,San Diego de los Dolores,SAN DIEGO DE LOS DOLORES,0.12,0.06,Osmosis Inversa
GUANAJUATO,Santa Cruz de Juventino Rosas,San Diego de los Dolores,San Diego de los Dolores,1.9,1.9,Ablandamiento
GUANAJUATO,Uriangato,El Derramadero,El Derramadero,2.88,2.88,Ablandamiento
GUANAJUATO,Valle de Santiago,Santa B rbara,Santa B rbara y Noria de Mosqu‚,1,0.6,Osmosis Inversa
GUERRERO,Acapulco de Ju rez,Acapulco de Ju rez,Acapulco (Cayaco),2000,1900,Clarificaci¢n Convencional
GUERRERO,Acapulco de Ju rez,Acapulco de Ju rez,Pedregoso,40,40,Filtraci¢n Directa
GUERRERO,Arcelia,Arcelia,Arcelia,70,65,Clarificaci¢n Convencional
GUERRERO,Benito Ju rez,San Jer¢nimo De Ju rez,San Jer¢nimo,50,25,Filtro de Carb¢n Activado
GUERRERO,Buenavista de Cuellar,Buenavista De Cuellar,Buenavista de Cuellar,70,40,Clarificaci¢n Convencional
GUERRERO,Iguala de la Independencia,Iguala de la Independencia,Iguala,400,300,Clarificaci¢n Convencional
GUERRERO,Olinal ,Olinal ,Olinal ,35,35,Clarificaci¢n Convencional
GUERRERO,Ometepec,Ometepec,Ometepec,100,100,Clarificaci¢n Convencional
GUERRERO,Ometepec,Ometepec,Ometepec,50,45,Filtraci¢n Directa
GUERRERO,Pilcaya,Pilcaya,Pilcaya,20,18,Clarificaci¢n Convencional
GUERRERO,Pungarabato,Ciudad Altamirano,Cd. Altamirano,420,400,Clarificaci¢n Convencional
GUERRERO,Taxco de Alarc¢n,Taxco de Alarc¢n,Taxco,120,100,Clarificaci¢n Convencional
GUERRERO,Taxco de Alarc¢n,Taxco de Alarc¢n,Taxco de Alarc¢n,220,220,Clarificaci¢n Convencional
GUERRERO,Teloloapan,Teloloapan,Teloloapan,80,40,Filtraci¢n Lenta
GUERRERO,Tixtla de Guerrero,Tixtla de Guerrero,Tixtla,40,25,Clarificaci¢n de Patente
GUERRERO,Zitlala,Zitlala,Zitlala,8,8,Clarificaci¢n Convencional
HIDALGO,Atitalaquia,Atitalaquia,Pozo La Ranfla,12,12,Otro
HIDALGO,Atitalaquia,Atitalaquia,Pozo Villas Atitalaquia,5,5,Otro
HIDALGO,Atitalaquia,Cardonal,Pozo Cardonal,18,18,Otro
HIDALGO,Atitalaquia,Colonia Empleados Refiner¡a,Pozo 18 de Marzo,12,12,Filtro de Carb¢n Activado
HIDALGO,Atotonilco de Tula,La Ca¤ada,Pozo La Ca¤ada,2,2,Clarificaci¢n de Patente
HIDALGO,Mineral del Chico,La Estanzuela,El Bordo,50,50,Clarificaci¢n Convencional
HIDALGO,Mineral del Monte,Mineral Del Monte,La Dificultad,50,50,Remoci¢n de Fierro - Manganeso
HIDALGO,Pachuca de Soto,Pachuca de Soto,San Juan Pachuca,120,100,Osmosis Inversa
HIDALGO,Progreso de Obregon,Progreso,Pozo Progreso,55,55,Otro
HIDALGO,Tula de Allende,Montecillos,Pozo Montecillos,12,12,Clarificaci¢n de Patente
HIDALGO,Tula de Allende,San Miguel Vindho,Pozo San Miguel Vindho,8,8,Clarificaci¢n de Patente
HIDALGO,Tula de Allende,Tula de Allende,La Amistad,6,6,Clarificaci¢n de Patente
HIDALGO,Tula de Allende,Tula de Allende,Pozo Iturbe,40,40,Adsorci¢n
HIDALGO,Zimapan,Benito Ju rez (Detzani),Pozo Detzani,5,5,Adsorci¢n
HIDALGO,Zimapan,"MUHI, EL",Llano Norte (EL Muhi),22,19,Otro
HIDALGO,Zimapan,Zimapan,Tanque Central,16,13,Otro
JALISCO,Arandas,"SAUZ DE CAJIGAL, EL",Sauz de Cajigal,2,2,Clarificaci¢n Convencional
JALISCO,Ca¤adas de Obreg¢n,Ca¤adas de Obreg¢n,Villa Obreg¢n,12,12,Clarificaci¢n Convencional
JALISCO,Cuqu¡o,Cuqu¡o,Cuqu¡o,30,30,Clarificaci¢n Convencional
JALISCO,Guadalajara,Guadalajara,Guadalajara (Toluquilla),1200,1200,Remoci¢n de Fierro - Manganeso
JALISCO,Guadalajara,Guadalajara,Guadalajara No. 1 (Miravalle),9000,9000,Clarificaci¢n Convencional
JALISCO,Hostotipaquillo,MESA DE FLORES,Mesa de las flores,2,2,Clarificaci¢n Convencional
JALISCO,Huej£car,SAN JOSE DE LOS MARQUEZ,San Jos‚ de los Marquez,2,2,Clarificaci¢n Convencional
