Estado,Municipio,Localidad,Nombre de la Planta,Capacidad Inst.,Caudal Potabilizado,Proceso Potabilizaci¢n
BAJA CALIFORNIA SUR,Comond£,San Miguel de Comond£ (Los Comond£),San Miguel de Comond£,0.4,0.2,Osmosis Inversa
BAJA CALIFORNIA SUR,La Paz,El Centenario,Potabilizadora El Centenario,40,30,Filtraci¢n Directa
BAJA CALIFORNIA SUR,La Paz,El Triunfo,El Triunfo,0.4,0.4,Osmosis Inversa
BAJA CALIFORNIA SUR,La Paz,General Juan Dom¡nguez Cota,Gral. Juan Dom¡nguez Cota,0.63,0.63,Osmosis Inversa
BAJA CALIFORNIA SUR,La Paz,San Antonio,San Antonio,0.4,0.4,Osmosis Inversa
BAJA CALIFORNIA SUR,La Paz,San Evaristo,San Evaristo,0.2,0.2,Osmosis Inversa
BAJA CALIFORNIA SUR,La Paz,"SARGENTO, EL",El Sargento-La Ventana,3.4,3.4,Osmosis Inversa
BAJA CALIFORNIA SUR,Loreto,SAN COSME,San Cosme,0.115,0.115,Osmosis Inversa
BAJA CALIFORNIA SUR,Los Cabos,Cabo San Lucas,Los Cabos,200,180,Osmosis Inversa
BAJA CALIFORNIA SUR,Los Cabos,San Jose Viejo,San Lazaro,80,80,Clarificaci¢n Convencional
BAJA CALIFORNIA SUR,Muleg‚,Campo Delgadito,El Delgadito,0.2,0.2,Osmosis Inversa
BAJA CALIFORNIA SUR,Muleg‚,El Card¢n,EL CARDON,0.46,0.46,Osmosis Inversa
BAJA CALIFORNIA SUR,Muleg‚,El D til,El D til,0.2,0.2,Osmosis Inversa
BAJA CALIFORNIA SUR,Muleg‚,Natividad (Isla Natividad),Isla Natividad,1,1,Osmosis Inversa
BAJA CALIFORNIA SUR,Muleg‚,Natividad (Isla Natividad),Isla Natividad,1.16,1.16,Osmosis Inversa
CAMPECHE,Calakmul,Xpujil,Xpujil,5,5,Clarificaci¢n Convencional
COAHUILA DE ZARAGOZA,Abasolo,Abasolo,ABASOLO,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Abasolo,"RODRIGUEZ, LOS",LOS RODRIGUEZ,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Acu¤a,Ciudad Acu¤a,Ciudad Acu¤a,150,90,Clarificaci¢n Convencional
COAHUILA DE ZARAGOZA,Acu¤a,Ciudad Acu¤a,La Amistad,500,400,Clarificaci¢n Convencional
COAHUILA DE ZARAGOZA,Allende,Allende,Allende,125,80,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Arteaga,"PRESA, LA",Ej. La Presa,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Candela,Candela,Candela,0.4,0.4,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,ANTIGUOS MINEROS DEL NORTE (SANTA TECLA),Antiguos Mineros,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,CUATES DE AUSTRALIA,Cuates de Australia,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,El Campizal,El Campizal,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,"ESTANQUE DE PALOMAS (PALOMAS, LAS)",Estanque Palomas,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,La Vega,La Vega,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,Las Morenas,Las Morenas,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,"OSO, EL",El Oso,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,SAN VICENTE,SAN VICENTE ,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,SANTA TERESA DE SOFIA,Santa Teresa de Sof¡a,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,"TANQUE NUEVO (CINCO, EL)",Tanque Nuevo,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,"VENADO, EL",EL VENADO,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Cuatrocienegas,"VICTORIA, LA",LA VICTORIA,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Escobedo,AGUA DE LA HERRADURA,Agua de la Herradura,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Escobedo,ESCOBEDO,Escobedo,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Escobedo,PRIMERO DE MAYO,1ø DE MAYO,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Francisco I. Madero,Batopilas,Batopilas,0.4,0.4,Osmosis Inversa
COAHUILA DE ZARAGOZA,Francisco I. Madero,CHARCOS DE RISA,Charcos de Risa,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Francisco I. Madero,FLORENCIA,Florencia,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Francisco I. Madero,Francisco I. Madero,Pozo Alamito,55,55,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Francisco I. Madero,Francisco I. Madero,POZO ALMACEN,36,36,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Francisco I. Madero,Francisco I. Madero,Pozo Isabeles,40,40,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Francisco I. Madero,Francisco I. Madero,Pozo Virginias,20,20,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Francisco I. Madero,SAN ESTEBAN DE EGIPTO,Pozo San Esteban de Egipto,47,47,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,General Cepeda,La Hedionda Chica,La Hedionda Chica,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,General Cepeda,La Noria de la Sabina,Noria de la Sabina,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,General Cepeda,MARTE (ESTACION MARTE),Estaci¢n Marte,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,General Cepeda,SAN ANTONIO DEL JARAL (SAN ANTONIO),San Antonio del Jaral,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,General Cepeda,TANQUE SAN VICENTE (SAN VICENTE),Tanque San Vicente ,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Guerrero,SAN VICENTE,San Vicente,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Hidalgo,Hidalgo,Villa Hidalgo,36,36,Clarificaci¢n Convencional
COAHUILA DE ZARAGOZA,Jim‚nez,Jim‚nez,Jim‚nez,15,15,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Ju rez,Don Mart¡n,Don Mart¡n,1.3,1.3,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Ju rez,Don Mart¡n,Don Mart¡n,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ju rez,El µlamo,EL ALAMO,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ju rez,Ju rez,Ju rez,3.3,3.3,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Ju rez,SANTA RITA,Santa Rita,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Matamoros,HORMIGUERO,Hormiguero,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Matamoros,HORMIGUERO,Hormiguero,0.379,0.379,Osmosis Inversa
COAHUILA DE ZARAGOZA,Matamoros,Matamoros,Pozo No. 7 Matamoros,47,47,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Monclova,"ORO, EL",El Oro,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Nadadores,NUEVO POBLADO DE SARDINAS,Sardinas,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Nadadores,SAN JOSE DEL AGUILA,San Jos‚ del µguila,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Nava,Nava,Nava,100,80,Clarificaci¢n Convencional
COAHUILA DE ZARAGOZA,Ocampo,"ALICANTE, EL",El Alicante,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ocampo,Charcos de Figueroa (Falc¢n),Charcos de Figueroa,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ocampo,Chula Vista,Chula Vista,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ocampo,"EUTIMIAS, LAS",Las Eutimias,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ocampo,"ROSITA, LA",LA ROSITA,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ocampo,SAN MIGUEL,San Miguel,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ocampo,SAN VICENTE Y ZACATONAL,San Vicente,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ocampo,"SOCORRO, EL",El Socorro,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Ocampo,"UNION Y EL OLAN, LA",La Uni¢n y El Olan,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,BOQUILLAS DEL REFUGIO,Boquillas del Refugio,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,"CANDELARIA, LA",La Candelaria,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,"CECILIA, LA (SANTA CECILIA)",Santa Cecilia,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,CUATRO DE MARZO,4 de Marzo,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,El Porvenir de Abajo,Porvenir de Abajo,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,El Siete de Enero (El Mezquite),SIETE DE ENERO ,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,La Requena (La Requena de F tima),Requena,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,MADERO (ESTACION MADERO),Estaci¢n Madero,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,PIEDRA BLANCA,Piedra Blanca,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,SAN RAFAEL DE LOS MILAGROS,San Rafael de los Milagros,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,"SOL, EL",El  Sol,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,Tal¡a,Talia,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Parras,"VEGA, LA",LA VEGA ,0.12,0.12,Osmosis Inversa
